param,mass
0.33603529551392963,0.00013987223307291668
0.336035295513942,0.00013987223307291668
0.33603529551395583,0.00013987223307291668
0.3360352955139714,0.0001430511474609375
0.33603529551398886,0.0001430511474609375
0.3360352955140085,0.00014623006184895834
0.3360352955140306,0.00014623006184895834
0.33603529551405537,0.00014940897623697918
0.3360352955140832,0.00014940897623697918
0.3360352955141145,0.000152587890625
0.33603529551414957,0.000152587890625
0.33603529551423333,0.00015894571940104168
0.3360352955142831,0.00015894571940104168
0.3360352955143391,0.0001621246337890625
0.3360352955144019,0.00016530354817708334
0.3360352955144725,0.00016848246256510418
0.33603529551455175,0.00016848246256510418
0.3360352955146408,0.000171661376953125
0.3360352955147408,0.00017484029134114584
0.33603529551485317,0.00017801920572916668
0.3360352955149794,0.0001811981201171875
0.3360352955151212,0.00018755594889322918
0.3360352955152805,0.00019073486328125
0.33603529553637324,0.00034650166829427087
0.3360352955589168,0.0004164377848307292
0.3360352955814604,0.0004641215006510417
0.33603529560400397,0.0005054473876953125
0.3360352956265475,0.0005404154459635417
0.33603529564909107,0.0005753835042317709
0.33603529567163465,0.0006039937337239584
0.3360352956941782,0.0006326039632161459
0.3360352957167218,0.0006580352783203125
0.3360352957392654,0.0006834665934244792
0.33603529576180896,0.000705718994140625
0.33603529578435254,0.0007279713948567709
0.3360352958068961,0.0007502237955729167
0.3360352958294397,0.0007724761962890625
0.3360352958519832,0.0007915496826171875
0.3360352958745268,0.0008138020833333334
0.3360352958970704,0.0008328755696614584
0.33603529591961395,0.0008519490559895834
0.33603529594215753,0.0008710225423177084
0.33603529596470105,0.0008900960286458334
0.33603529598724463,0.0008869171142578125
0.3360352960097882,0.0009250640869140625
0.3360352960323318,0.0009409586588541667
0.33603529605487537,0.0009568532307942709
0.3360352960774189,0.000972747802734375
0.33603529609996247,0.0009886423746744792
0.33603529612250604,0.0010045369466145835
0.3360352961450496,0.0010204315185546875
0.3360352961675932,0.0010363260904947917
0.3360352961901368,0.001052220662434896
0.33603529621268036,0.001068115234375
0.33603529623522393,0.0010808308919270835
